"No.","P.value","BF01","y1","y2","n1","n2","y1n1","y2n2","ynavg"
28,0.62,130.8,26,31,2976,3009,0.00873655913978495,0.0103024260551678,0.00951949259747639
28,0.47,110.5,26,33,3032,3077,0.00857519788918206,0.010724731881703,0.00964996488544251
17,0.19,12.3,18,10,493,488,0.0365111561866126,0.0204918032786885,0.0285014797326505
52,0.48,85.34,164,151,4996,5007,0.032826261008807,0.0301577791092471,0.031492020059027
28,0.93,96,131,132,3906,3862,0.0335381464413722,0.0341791817711031,0.0338586641062377
28,0.93,95.7,141,137,3995,3950,0.0352941176470588,0.0346835443037975,0.0349888309754281
55,1,27.84,35,17,699,345,0.050071530758226,0.0492753623188406,0.0496734465385333
185,0.19,12.44,102,41,1313,677,0.0776846915460777,0.0605612998522895,0.0691229956991836
57,0.9,77.69,347,351,5033,5030,0.0689449632425988,0.0697813121272366,0.0693631376849177
50,0.23,45.1,768,815,9223,9223,0.0832700856554267,0.0883660414181937,0.0858180635368102
148,0.45,40.21,371,391,3610,3603,0.102770083102493,0.108520677213433,0.105645380157963
148,0.11,14.56,401,444,3610,3603,0.111080332409972,0.12323064113239,0.117155486771181
89,0.37,17.09,132,135,1080,990,0.122222222222222,0.136363636363636,0.129292929292929
202,0.82,44.24,406,399,3034,3034,0.133816743572841,0.131509558338827,0.132663150955834
170,0.66,9.14,27,27,171,198,0.157894736842105,0.136363636363636,0.147129186602871
80,0.16,2.53,27,15,138,122,0.195652173913043,0.122950819672131,0.159301496792587
69,0.76,16.36,85,83,518,535,0.164092664092664,0.155140186915888,0.159616425504276
160,0.19,2.42,42,9,192,67,0.21875,0.134328358208955,0.176539179104478
117,0.63,19.23,158,167,916,916,0.172489082969432,0.182314410480349,0.177401746724891
182,0.22,3.13,28,19,127,125,0.220472440944882,0.152,0.186236220472441
84,0.97,10.87,56,58,257,260,0.217898832684825,0.223076923076923,0.220487877880874
188,0.87,21.71,284,277,1149,1138,0.247171453437772,0.243409490333919,0.245290471885846
200,0.93,5.61,22,21,80,82,0.275,0.25609756097561,0.265548780487805
166,0.6,15.28,212,225,801,811,0.264669163545568,0.277435265104809,0.271052214325188
135,0.89,2.66,4,5,14,19,0.285714285714286,0.263157894736842,0.274436090225564
161,0.38,15.44,108,120,394,414,0.274111675126904,0.289855072463768,0.281983373795336
17,0.87,13.15,155,150,493,488,0.314401622718053,0.307377049180328,0.31088933594919
41,0.36,11.47,331,317,944,962,0.350635593220339,0.32952182952183,0.340078711371084
2,0.42,6.19,41,1382,124,3732,0.330645161290323,0.370310825294748,0.350477993292535
170,0.72,7.44,73,79,188,216,0.388297872340426,0.365740740740741,0.377019306540583
171,1,18.31,438,442,1024,1035,0.427734375,0.427053140096618,0.427393757548309
206,985,4.023,18,25,41,60,0.439024390243902,0.416666666666667,0.427845528455285
171,0.4,10.46,345,362,762,761,0.452755905511811,0.47568988173456,0.464222893623185
153,0.26,7.32,360,335,666,659,0.459459459459459,0.49165402124431,0.524443259648115
150,0.8,11.04,233,230,395,396,0.410126582278481,0.419191919191919,0.5853407492648
58,0.75,3.79,31,36,47,59,0.340425531914894,0.389830508474576,0.634871979805265
197,0.5,9.05,262,271,398,428,0.341708542713568,0.366822429906542,0.645734513689945
44,0.53,8.61,212,202,264,260,0.196969696969697,0.223076923076923,0.78997668997669
20,0.24,11.95,879,862,1015,1018,0.133990147783251,0.153241650294695,0.856384100961027
